Relationship,Very Strong (VS),Strong (SS),Medium (M),Low (LL),Very Low (VL),No Causality (NC),Unsure (U),Entropy
Quality of Social Factor -> Smart City (+),4,6,0,0,0,0,0,0.970950594
Stakeholder Engagement In Governance -> Smart City (+),7,2,1,0,0,0,0,1.156779649
Unemployment Rate -> Poverty Rate (+),7,2,1,0,0,0,0,1.156779649
Quality of Life -> Smart City (+),7,2,1,0,0,0,0,1.156779649
Road Traffic Intensity -> Gas Consumption (+),6,3,1,0,0,0,0,1.295461844
Percentage of Renewable Energy -> Ecological Sustainability (+),3,6,1,0,0,0,0,1.295461844
Road Traffics Intensity -> Pollution (+),6,3,1,0,0,0,0,1.295461844
Public Transit System  Accessibility ->  Mobility (+),3,6,1,0,0,0,0,1.295461844
Motor Vehicle Density -> Air Pollution (+),6,3,1,0,0,0,0,1.295461844
Motor Vehicle Density -> Road Traffic Intensity (+),6,3,1,0,0,0,0,1.295461844
Road Density -> Mobility (+),3,6,1,0,0,0,0,1.295461844
Population Growth -> Waste Production (+),6,3,1,0,0,0,0,1.295461844
Presence of Regulation -> Stakeholder Engagement in  Governance (+),5,1,4,0,0,0,0,1.360964047
Ecological Sustainability -> Quality of life (+),5,4,1,0,0,0,0,1.360964047
Health Index -> Quality of life (+),5,4,1,0,0,0,0,1.360964047
Motor Vehicle Density -> Pollution (-),4,5,1,0,0,0,0,1.360964047
Gas Consumption -> Pollution (+),4,5,1,0,0,0,0,1.360964047
Use of Public Transportation -> Road Traffic Intensity (-),4,5,1,0,0,0,0,1.360964047
Livabilty -> Smart City (+),4,5,1,0,0,0,0,1.360964047
Innovation Index -> Tourism Diversity (+),0,2,6,2,0,0,0,1.370950594
Economic Growth -> Quality Of Life (+),6,2,2,0,0,0,0,1.370950594
Quality of Waste Management -> Ecological Sustainability (+),5,3,2,0,0,0,0,1.485475297
Industrial Diversity -> Poverty Rate (-),3,2,5,0,0,0,0,1.485475297
Tourism Diversity -> Economic Growth (+),5,2,3,0,0,0,0,1.485475297
Education Index -> Smart City (+),5,2,3,0,0,0,0,1.485475297
Resource Diversity -> Investment Rate (+),2,5,3,0,0,0,0,1.485475297
Livability ->Quality of Life (+),3,5,2,0,0,0,0,1.485475297
Information Technology -> Use of Technology (+),3,5,2,0,0,0,0,1.485475297
Air Pollution -> Pollution (+),3,5,2,0,0,0,0,1.485475297
Stakehoder Engangement in Governance -> Quality of Public Service (+),5,2,3,0,0,0,0,1.485475297
Industrial Diversity -> Economic Growth (+),4,4,2,0,0,0,0,1.521928095
Ecological Sustainability -> Smart City (+),4,4,2,0,0,0,0,1.521928095
Green Space Ratio -> Ecological Sustainability (+),4,2,4,0,0,0,0,1.521928095
Investment Rate -> Industrial Diversity (+),4,2,4,0,0,0,0,1.521928095
Innovation Index -> Stakeholder Engagement  (+),2,4,4,0,0,0,0,1.521928095
Quality of The Infrastructure -> Smart City (+),4,2,4,0,0,0,0,1.521928095
Ecological Sustainability -> Livability (+),4,4,2,0,0,0,0,1.521928095
Green Space Ratio -> Pollution (-),2,4,4,0,0,0,0,1.521928095
Ratio of Temporary Waste -> Waste Infrastructure Capacity (+),3,4,3,0,0,0,0,1.570950594
Gas Consumption -> Ecological Sustainability (-),4,3,3,0,0,0,0,1.570950594
