Run, A, B, C, D, E, SiCap, SiGe, Ge
7, -, -, -, -, +, 371.18, 475.05, 8.53
17, -, -, -, +, -, 152.36, 325.21, 9.74
6, -, -, +, -, -, 91.69, 258.60, 9.78
10, -, -, +, +, +, 234.48, 392.27, 9.14
16, -, +, -, -, -, 151.36, 440.37, 12.13
2, -, +, -, +, +, 324.49, 623.60, 10.68
15, -, +, +, -, +, 215.91, 518.50, 11.42
4, -, +, +, +, -, 97.91, 356.67, 12.96
9, +, -, -, -, -, 186.07, 320.95, 7.87
13, +, -, -, +, +, 388.69, 487.16, 7.14
18, +, -, +, -, +, 277.39, 422.35, 6.40
5, +, -, +, +, -, 131.25, 241.51, 8.54
14, +, +, -, -, +, 378.41, 630.90, 9.17
3, +, +, -, +, -, 192.65, 437.53, 10.35
1, +, +, +, -, -, 128.99, 346.22, 10.95
12, +, +, +, +, +, 298.40, 526.69, 9.73
8, 0, 0, 0, 0, 0, 215.70, 416.44, 9.78
11, 0, 0, 0, 0, 0, 212.21, 419.24, 9.80
